title,abstract,keyphrases
Electrical eng project,Design and specify the ratings of a single-phase transformer to supply several loads,"electrical eng project, single-phase transformer, design, ratings, several loads"
Make Our Company a Logo,"We at [Gaming Wizard Company] are very excited to share our latest project with you! It’s called [Our New Project] and it’s going to change the world! Our team has been working around the clock to bring you the most realistic game play you’ve ever seen, and we know it will be a huge hit with our fans. To make sure it has the staying power it deserves, though, we want to choose the perfect logo - something that captures everything that we do best!","wizard company, new project, realistic game play, latest project, perfect logo, huge hit, staying power, world, team, clock"
I need solidcam postprosser Doosan turnmill,I need post prosser for turnmill,"solidcam postprosser doosan turnmill, post prosser, turnmill"
Germany business card,Hello am in need of someone who can create a business card,"germany business card, need"
Need help in Android App -- 2,We have an android app which is an esport tournament app and we are unable to upload it due to some of issue. Need someone who can guide us to publish it successfully.,"esport tournament app, android app, help, issue"
Peoples Party,Need a manifesto to be written up,"peoples party, manifesto"
"Build a mobile app, android and iOS and also a web site",Hi I can clearly discuss all the details of the job and also negotiate the price again for the whole project. The basic details of the app is it is a job ads posting web site. Where people can post their interest in doing job and post their availability. Please reply back to discuss further.,"mobile app, web site, job ads, basic details, android, ios, price, people, interest, availability"
Excel - System level design for wireless communications systems - Friis Formula for Free Space Links,Microsoft Excel - System-level design for wireless communications systems - Friis Formula for Free Space Links,"free space links, system level design, wireless communications systems, friis formula, microsoft excel"
Flutter + Firebase developer required for 2 months (Contract work),"I need a developer for a period of 2 months to work on this project. Monthly Payment INR 30,000. Only place a bid if you are okay with this contract. Project Description: Designs:","firebase developer, contract work, monthly payment inr, project description, months, flutter, period, designs, bid"
Remove Green Background from video,"Hi, I have two small videos (of my kid singing - each video is about 5 minutes) . I needyou to remove the green screen from behind the vide and add a nice looking background image - so that it looks good when I post it on YouTube. Need to get it done now.","nice looking background image, green background, green screen, small videos, video, kid singing, youtube, minutes, vide"
Find multi family listings in good areas in certain states (USA),"Zillow, neighborhood scout, etc. find me new properties or price drops that are in good areas","multi family listings, certain states, good areas, neighborhood scout, usa, price drops, new properties, zillow"
Create an animation video of 30 second using Photoshop/After effects,I want an animation using keyframe animation and live animation of 30 seconds having some characters,"animation video, keyframe animation, live animation, photoshop, effects, second, characters"
"Figma Designer required for Redesigning 2 simple webpages in figma(Need it today, Lower bid will win the job)","Hello I need 2 simple webpages redesign in figma with required content and color scheme, This is the reference website: content and color scheme will be provided to selected one, need to complete must today as this is simple redesign pages, I need lowest bidder for it , Thank you","simple redesign pages, lower bid, figma designer, simple webpages, color scheme, reference website, lowest bidder, job, content, today"
simple black&white cartoon with family members around table - specific attitudes/expression,"Hi, the title says it all. I can send real pictures of the people I'd love to see around the table, but similarity only on the surface, no need to recognize people very well, the attitude/expression is most important. Simple (classic) cartoon drawing style, see example that I upload. I'm looking for some changes to this example.","simple black&white cartoon, family members, specific attitudes, cartoon drawing style, table, expression, real pictures, people, example, title"
MIRO Board - Simple How to Guide,"There is this webinar: It is around a process on how to register and submit some documents as required by government Task ----------- Topic: How to registor on Strata Hub - Step by Step guide I just want a simple MIRO board version of steps outlines in the webinar. Can take screenshot and make it easy to follow it is a dummies guide. Structure the board so that it can easily print on A4 docs (1-2 pages). Need to create some timeline/steps/storyboard so it becomes sequence. Find existing template from MIRO community that would be a good fit. About you You need to have experience in MIRO and also make step by step intructions. This is straightforward quick task. Have more MIRO driven projects after. When you contact, send me example of your MIRO board and any instruction guide y...","simple miro board version, strata hub, step guide, dummies guide, straightforward quick task, miro community, government task, step intructions, webinar, simple"
Build me a data base of orders,"Urgent requirement of Data base operator for entries of 5400 order in excel sheet Including (Customers name,email,contact,adress,order date,desciption,amount,id). Time duration for completion is 35days. First Payment on completion of 50% work left on completing all work after checking project... ThankYou","data base operator, excel sheet including, order date, urgent requirement, time duration, orders, completion, entries, email, contact"
android developer -- 2,I want person experience in android studio for simple android app,"simple android app, android developer, android studio, person experience"
Notes making,making notes for civil services examination,"civil services examination, notes"
Video Editor Required for tech youtube channel -- 2,"i need a video editor who can edit my tech YouTube videos, he will be paid 250 per video, daily one video.","tech youtube channel, video editor"
Mobile Automation test - Appium (iOS-Android),"I need assistance with the ""Appium"" test download and execution on the iOS and Android platforms.","mobile automation test, test download, android platforms, appium, ios-android, assistance, execution"
Need a web design based on fashion theme,Requires a web design for fashion clothing boutique website,"fashion clothing boutique website, web design, fashion theme"
Need a web design based on fashion theme,Requires a web design for fashion clothing boutique website,"fashion clothing boutique website, web design, fashion theme"
Keynote Designer,I have keynote presentations. I need to update the design with the new template and fonts.,"keynote designer, keynote presentations, new template, design, fonts"
SoP and LoR for higher studies,I am looking for a professional content writer to write a Statement of Purpose and two Letter of Recommendations for my post graduation in Business Analytics from top ranked universities. I would prefer a experienced writer who has strong technical knowledge. I will share my personal details required for the content in private chat. It would be a plus if you share your few of your sample writings.,"professional content writer, higher studies, business analytics, strong technical knowledge, post graduation, lor, experienced writer, sop, sample writings, personal details"
Amazon Listing Optimization,"If you're here reading this, you are probably new to Amazon or an Amazon Seller wanting to: - Increase your sales - Improve your rankings - Move ahead of your competition I work with reputed beauty brands as well as with private label sellers on Amazon, Etsy and eBay and have been completely managing their accounts and product listings. I started out as a logistics analysis manager for a well-known beauty brand, branched out as a copywriter with a flair for crafting unique and persuasive copy, and finally worked my way to becoming an Amazon expert. Over the past 5 years, I have helped my clients scale their business and dominate their niche. My area of expertise lies in the following areas: - Compelling Conversion Oriented Copywriting for Amazon - Extensive Keyword Research using He...","amazon listing optimization, compelling conversion oriented copywriting, private label sellers, amazon seller, reputed beauty brands, extensive keyword research, well-known beauty brand, logistics analysis manager, amazon expert, product listings"
Setting up social media,"Social media, need help with signing up","social media, help"
Help creating an account south korea,I need little help creating an account,"account south korea, little help, account"
Create a documentation word file for MVT application -- 2,i just wanna u create to me a documentation file with my requirements that i will give u a flutter code and app and u will create documentation file with testing project in attatched file u will see intro about project,"documentation word file, mvt application, flutter code, testing project, requirements, app, intro, wanna u, file u"
i need help with my spreadsheet to track my daily sales and weekly and montly expenditure.,i need help with my spreadsheet to track my daily sales and weekly and montly expenditure.,"daily sales, help, spreadsheet, expenditure"
researched investigation and deatiled report needed,"researched investigation and deatiled report needed, not some paraphrased content - will not release payment until the work is satisfactory or up to the mark - 30 references from google scholar is mandatory -citations to be added in each and every paragraphs -multiple revisions or corrections might be done -plagarism not more than 10% - Event report on Oktoberfest -will be sending a outline on personal chat on how it exactly needs to be on that format","paragraphs -multiple revisions, event report, google scholar, mandatory -citations, oktoberfest -will, personal chat, investigation, content, payment, work"
I need a research writer,"research topic is should college education be free The essay will be typed, double-spaced in size 12 Times New Roman font and formatted according to MLA style guidelines with a header.  This essay will require a minimum of 5 secondary sources (you can always exceed the 5 sources.) o One of the sources must be a book. Electronic books (eBooks) are also acceptable. eBooks are also regarded as online books or digital books. You will learn how to access FSCJ’s online book archive in the coming weeks. o Two of the sources must be from FSCJ’s online databases. You will learn how to access FSCJ’s online databases in the coming weeks. o Two of the sources are your choice. It can be another online database, a book, or an Internet source. Regardless of the source, mak...","times new roman font, mla style guidelines, research writer, research topic, online book archive, college education, online databases, sources, online books, fscj"
Create a aircraft classified website,"See the attached document. I would like to create that website. If you don't respond with the word ""Jetlister"" in your application, i'll assume you are a bot.","aircraft, attached document, website, jetlister, word, application, bot"
DATA ENTRY,"Making a comprehensive data in set format from visiting cards, Visitor book, dispatch slips, product codes etc","data entry, comprehensive data, visitor book, set format, dispatch slips, product codes, cards"
Constructions Building,"construction, also called building construction, the techniques and industry involved in the assembly and erection of structures, primarily those used to provide shelter. Construction is an ancient human activity. It began with the purely functional need for a controlled environment to moderate the effects of climate.","constructions building, building construction, ancient human activity, functional need, techniques, industry, erection, structures, shelter, environment"
I need a brand manager,"Currently have a yt channel and fb page, and need to find someone to help us create a brand from them.","brand manager, yt channel, fb page"
3d Kinect Archery game demo -- 7,"requirements; 1. Create an archery game for demo purpose only based on freely available open source or education codes 2. Add a couple of scenes to customize UI and interface 3. Add some of my assets to work with the created game 4. Add my kinect V2 and Azure Kinect to control, based on the keyboard input system above. 5. you should implement the game on my pc to work with my devices. Budget: usd 100 Refs: or suggest your ideas","kinect archery game demo, available open source, azure kinect, demo purpose, keyboard input system, education codes, requirements, refs, couple, scenes"
Need smart contract developer bsc for interaction with front end .,Need a smart contract developer for smart contraction interaction ico contract with the front end. need from India only.,"smart contraction interaction ico contract, smart contract developer bsc, interaction, india, front end"
Type a book  -- 3,copy typing and editing need urgently,"book, editing"
Custom product and custom email Woocommerce (Urgent),"I need to add features to this specific product: 1) The tree should have balls for each transaction that was purchased in this product.. for example if 100 users bought this product before, the tree should be filled with 100 balls of different colors. 2) When user select color, a new and bigger ball should appear in the tree with the selected color.. 3) When user write his name, his name should appear in the ball. 4) when user pay, this same preview that user did should be storage in a specific and unique url, so when user pay, can share that specific link to anyone and see the same preview with the ball and his name on it. I need it to be done in 12 hours","custom email woocommerce, custom product, specific product, user, urgent, different colors, tree, specific link, balls, unique url"
Need an Expert for Editing in ms word,Need an Expert for Editing in ms word,"expert, editing, ms word"
ESL teaching PowerPoints,Grade 1 and 2 ESL powerpoints for Cambridge Global English. Only 3 to 4 PPTs a week needed. 1 lesson per powerpoint. All matierals will be provided along with what to focus on. Relevent videos and audio to will also be provided.,"cambridge global english, esl powerpoints, relevent videos, ppts, grade, week, powerpoint, lesson, matierals, audio"
build an online store webiste,I need an online store website in WIX or shopify,"online store webiste, wix"
Logos and graphic design,"I need a well experienced and talented logos and graphic design that can handle my project very well and get in touch of my company, Apply in a person","graphic design, talented logos, project, touch, company, person"
Hire online Eurpoean/American/Canadian English Teachers 4,"Online one-to-one teaching of English courses for students, including IELTS, TOEFL, Longevity, business, daily life, tourism, children, etc. A class lasts for 30 minutes and can be arranged freely.","canadian english teachers, online eurpoean, online one-to-one teaching, english courses, daily life, american, ielts, longevity, students, business"
Socket Programming -- 2,Develop a project using socket programming.,"socket programming, project"
Purpose Care Systems,Automate processes and systems of the business to flow and be clear for staff to follow clearly.,"purpose care systems, automate processes, systems, business, staff"
Christmas present -- 2,I need a woman added to a photo from my wedding. We got one with everyone but her and my mom really wants a family photo of all of us from my wedding. The woman in the short dress with the short hair needs to be added to the photo with her preferably to the right side of the photo,"christmas present, family photo, short dress, short hair, wedding, woman, mom, right side"
Christmas present,I need a woman added to a photo from my wedding. We got one with everyone but her and my mom really wants a family photo of all of us from my wedding. The woman in the short dress with the short hair needs to be added to the photo with her preferably to the right side of the photo,"christmas present, family photo, short dress, short hair, wedding, woman, mom, right side"
SEO expert,I Need SEO Expert for website,"seo expert, website"
LITERARY WRITING 12,"ANALYZE THE NARRATIVE ELEMENTS IN THE POEM IN THE WAITING ROOM BY ELIZABETH BISHOP (TIME, PLACE, VOICE, FOCALIZER) AND COMMENT ON THEIR SIGNIFICANCE????","elizabeth bishop, narrative elements, waiting room, literary, analyze, poem, time, place, voice, focalizer"
Flutter Audio & Video streaming app,"We need a flutter application with audio, video and live stream feature. Audio and video also need to be streamed when we want to stream. it will be similar like live stream.","video streaming app, live stream feature, flutter audio, flutter application, video"
Giming pubg,Giming pubg mobile 7070Stramus grapes,"pubg mobile, grapes"
Voiceover artist required for YouTube Automation channel,"This is a LONG-TERM position with GREAT benefits such as bonuses and raises based on quality work and performance! You will be responsible for narrating 8–12-minute videos 3-5 times weekly. Below are links to my competitors' channels for you to refer to that will give you a better understanding of the level of quality we need from you. 1. 2. 3. Requirements: 1. English expert 2. Professional equipment 3. 36h or less turnaround time 4. Willing to work long-term and grow with the team 5. Know the use of project management tool (i.e., Trello) Only apply if: 1. Your job success rate is above 80% 2. You are satisfied with the above-mentioned budget 3. You are willing to work in a cross functional team. 15 voiceovers for $100 Please provide samples of previous work to be consi...","youtube automation channel, voiceover artist, great benefits, long-term position, quality work, project management tool, job success rate, cross functional team, previous work, bonuses"
Takhi Masiky st area site visit and check validity,"Hi, We are looking for freelancer who take a site visit and confirm about a site, Just a site visit project and check address validation, ongoing work in future, further discus about task after freelancer kind response. Thank You and Kind regards !!","takhi masiky st area site visit, site visit project, kind response, address validation, kind regards, ongoing work, validity, freelancer, future, task"
Crypto Currency Wordpress site,"Hi all, I am looking for a wordpress expert to design and develop a wordpress site about crypto currencies that will contain crypto news and articles, the site needs to support English and Arabic Sample site:","crypto currency wordpress site, arabic sample site, wordpress expert, crypto currencies, crypto news, articles"
skeleton views of SwiftUI using provided api,"want an app with connected SwiftUI views where no list is used. Just the records of Array in the api. Swift file networkmodel using the provided api fetching an Array. This Array is used in those SwiftUI views presenting the records of the Array one by one through clicking on a NavigationLink with an element (a, b, c, d) of the record of the Array. Create an Array through clicking on a NavigationLink. In this new Array the results are stored if the click is 'wijs' or not. If all records are done a SwiftUI ResultView is presented with the result. ResultArray consist of date/time/wijs-number. api is:","swiftui views, skeleton views, array, swiftui resultview, swift file networkmodel, api, records, navigationlink, resultarray consist, app"
Gev small time writing office work for proofreading,This job requires a skilled or experienced individual. Just basic writing in sections,"office work, small time, experienced individual, basic writing, gev, job, sections"
Pitch Deck creation,Need a pitch deck to be created,pitch deck creation
Make simple tut for a software,Make simple tut for a software,"simple tut, software"
Adapt an existing CLM Tuning script to work with GPU parallelism -- 2,Adapt an existing CLM Tuning script to work with GPU parallelism,"clm tuning script, gpu parallelism"
Colourful drawings of laughable faces,"I need 20 colourful drawing of laughing faces. No requirement on the age, race, gender, hair color, with glasses or not, makeup and dresses yourself. Basically, it is free thinking. Important: when people see your drawings, people find it funny and laughable. Preferable that you can send me an example of your work. You can reference samples on internet, but please don't copy and paste. I need your original creation. Please message me for discussion if you are interested in the task. Thank you.","colourful drawings, laughable faces, hair color, people, original creation, requirement, age, race, gender, glasses"
A small web application project,Need to create. an online budget management system web application with superuser and user. Ping for details,"online budget management system web application, small web application project, superuser, user, details"
live-streaming in 1080p 48khz,"I currently do livestream using ios app with an iphone12. The app name is Bigo Live TV. The app is also available in android version on google store. Bigo has 5 modes of streaming. The mode i use is limited to fixed camera on my iphone. I am able to connect external microphone to lightning port, but not external camera (switcher) Here is what i have tried: 1- I run bluestacks 5 on my pc. side-load stable Bigo APK. set the emulator to recognize ManyCam as VirtualWebcam. It works. I am not satisfied with the quality of streaming. Somehow video degrades to 480p, i dont know the audio quality, but it lacks details 2- i bought an Apple M1 Macmini. Bigo ios app is able to run in ARM macos. i can connect a physical webcam or external video capture card to Bigo app and live successfully. How...","bigo ios app, side-load stable bigo apk, external video capture card, android version, google store, external camera, arm macos, external microphone, audio quality, video degrades"
Website contact,I need to someone to write a website contact,website contact
APP Ecommerce,"I need APP Ecommerce for android e ios, to a motorcycle shop, 200 articles , photo, description and some field for details. Pay whit credit card (even by paypal) Backend for order managing. Published in Apple store e Google play","app ecommerce, apple store e google play, whit credit card, motorcycle shop, backend, articles, photo, description, field, details"
Need an expert in Data Analysis using Python.,Hello I need a Data Science expert using Matlab and Python Please revert if you have the required expertise.,"data science expert, data analysis, python, matlab, expert, expertise"
"Data Mining Project, Web Scrapping, Data Harvesting - No Copy Paste messages please.","We are looking for someone who is expert in data mining, We will give you pages and keywords to mine data for us.","data mining project, copy paste messages, data harvesting, web scrapping, expert, pages, keywords, mine data"
I need to fix a widget button - only php developer -- 2,I need to fix the reply of my widget button. This task should be start now i cant wait to monday. if you are interested send me a message.,"php developer, widget button, reply, task, monday, message"
Shopifi-mini-mog-Theme-translation,"Hello we Need a shopify Experte only ! Issues : - After Translation with Translation adapt , our Filter if they are translated in Shop dringend are Not Show - product Page , we habe select for color thumbnail , in some Product is Show in german Language Bit the same Product didn’t show in Italian language . - also we don’t show PayPal express in product page , in cart . We that to show only in checkout Please buy seriously bid , I think issue is clear . We gonna not make any discussion like ‘ what’s is your budget ‘","german language bit, product page, shopify experte, italian language, translation adapt, shop dringend, paypal express, color thumbnail, filter, issues"
Redeveloping a design plug-in,"The client is a home decoration design company. A sketchup software was used to design panels, door frames, etc. Different styles of panels should be fitted to the door frame products. But currently the panels can not fit perfectly to the different sizes door frame products. So the customer wants to develop a software, can quickly stretch and scale the panel size. Work Period: under 3 days","home decoration design company, different sizes door frame products, design plug-in, design panels, door frames, sketchup software, different styles, work period, panel size, client"
Digital Marketing  -- 4,We need a person which is good in communication skills. The work is you have to just promote and advertise our business through social media platforms for a part time basis.,"digital marketing, social media platforms, communication skills, person, work, business, part time basis"
Digital Marketing  -- 4,We need a person which is good in communication skills. The work is you have to just promote and advertise our business through social media platforms for a part time basis.,"digital marketing, social media platforms, communication skills, person, work, business, part time basis"
Video Editor Needed,I need video editor who can make my video professionally I want some great looking video openers for my all videos This is sample video and you have to watch carefully these video openers [login to view URL] In this video there are 5 openeres and you have to watch all of them because I need all of them in my videos do no apply if you cannot make this I need only professional this is long term project so apply only if you can make it,"video editor, video openers, long term project, sample video, videos, url, openeres"
Aplicativo cara e coroa single e multiplayer  apostado,"Preciso de um aplicativo de cara um coroa apostado com gateway de pagamento, ORÇAMENTO PARA 3 MODALIDADES. Multiplayer Single (off) Multiplayer e Single (off).","aplicativo cara e coroa single e multiplayer, coroa apostado com gateway, multiplayer single, orçamento para, apostado, aplicativo, cara, modalidades, pagamento, preciso de"
Develop a Blog Website,I want someone who can help me build a personal blog,"blog website, personal blog"
Website developer and api developer needed,We want to create and design wallet and connect it to the various gaming websites though api. Api cre- ating will be main task in this project [login to view URL] is the competitor,"website developer, api developer, api cre- ating, main task, url, wallet, project, competitor, various gaming websites"
"Bilingual Polish English cold caller/appointment setter, lead generator bilingual Polish English -- 2",make scripted calls to financial advisors. work from home. you'll be using a script to call financial advisors to set appointments for an investment manager. Bilingual English and Polish.,"bilingual polish english, cold caller, appointment setter, lead generator, financial advisors, investment manager, polish, calls, home, script"
Private project or contest #35346784,Empty String,"private project, empty string"
Logo design,Need a logo design asap. Logo is for tracking and fleet management company. The person must do same logo as picture but on HD and Bold.,"logo design asap, fleet management company, bold, person, picture, tracking, hd"
logo to suit mechanic shop,"I need a logo created for a mechanic shop.. want red/black maybe silver in it, I have a dummy logo I created on “paint” just to give a slight idea","mechanic shop, dummy logo, slight idea, silver, paint"
looking for a content writer - SEO friendly,"Total 33 topics, each topics want city based unique content for all our services will share city name with services as tab","content writer, unique content, seo, topics, services, city, tab"
"Architecture Consultation - SQL Server, SSIS, Azure Databricks, Data Lake, Data Factory, AutoSys, DevOps","As the Subject suggests, I am searching for an Architecture Consultant for a 2hrs Consultation Session. ~ Someone who is having proven and vast experience in SQL Server (Both On-Premises and Azure Cloud SQL) and other Azure Services such as Data Lake, Data Bricks, Data Factory, DevOps, etc. Additionally, Knowledge of Autosys will be a plus! Only searching Individuals and NOT any company/consultancy farm. So please don't keep sending requests from such farms. Scenario is: 1. We are currently operating in an environment where we have On-prem SQL Server. People are running a lot of analytics in SQL on that. Those are event-driven executions and are triggered/controlled by Autosys. 2. Recently, for another few applications - they started storing data in Data lake /Data Bricks. There too,...","azure cloud sql, azure databricks, data lake, data factory, on-prem sql server, 2hrs consultation session, architecture consultation, data bricks, ssis, autosys"
Excel advance,Just data matching and vlookup data,"excel advance, vlookup data"
Building an app template,"We are looking to building a template of an app for a presentation. Some very rough drafts have been listed below as a reference point to what we want to have, showing the different segments of the app when they are selected. It does not need to be usable, just the pictures themselves to get an idea. We want the interface to be modern looking and clean, something which people who use apps such as instagram or TikTok would feel familiar with. We want the 3 main colours to be turquoise, black and white. The specific turquoise/green-like colour can be found on ""FFT App Logo"" file. The rest of the files show the different segments we want done, with it being a total of 5. We need this done by a week. Thank you","fft app logo, app template, different segments, rough drafts, reference point, green-like colour, main colours, presentation, tiktok, pictures"
Project Testing,i would like to someone test the below and give the report. looking for testing person on a ecommerce wbsite which is builded in woocommerce.,"project testing, ecommerce wbsite, report, person, woocommerce"
Video Editor for YouTube channel,"Hey there! We are a YouTube Automation company, and we are looking for a talented, hard-working and experienced Video Editor to join our team. We are looking for MULTIPLE experienced candidates for a sports channel (cricket preferred), Similar channels to these: We are looking for a long-term collaboration, on a project basis in the beginning, and eventually, if we are a good fit, we would also have the full-time/retainer opportunity. Please do not apply if you do not have any experience. Looking forward to working with you! Isaac","youtube automation company, video editor, youtube channel, sports channel, similar channels, experienced candidates, project basis, retainer opportunity, long-term collaboration, good fit"
Webpage optimization for Mobile devices -- 2,"We are looking for a skilled .NET developer who is good at webpage speed optimization and follows best practises to load a website fast. We have to optimize a page for faster loading on mobile devices. Desktop speed is comparatively fine, we have to load the content fast on mobile device. And improve the score considerably on GTmetrix. The backend technology is asp.net. If this project goes well, we will go long term with the developer and assign the upcoming jobs on the website every month. Pls apply with your work portfolio and mention similar projects undertaken in the past.","webpage speed optimization, mobile devices, skilled .net developer, desktop speed, best practises, backend technology, website, faster loading, work portfolio, similar projects"
VFX for Sci-Fi Short Film (10 minutes),"Hi, we're looking for a VFX artist for our short film. The rough cut is ready and I'll send it via DM. Also final cut is ready soon. VFX workload includes: Title card, 3D model of space ship provided (only seen in a long distance shot), 3D model of floater carrier to be made. Is used as cargo transport. Gun fire and a few laser dots moving across a character. Optionally, sky replacement but if it costs too much or is too time-consuming we can omit. I'll DM the rough cut and a detailed VFX breakdown with comps and timestamps. You'll work closely with the director of photography who is taking care of the final cut at the moment.","sci-fi short film, vfx artist, detailed vfx breakdown, rough cut, vfx workload, final cut, minutes, title card, long distance shot, space ship"
Logo Design for Texas Elite Septic Services,"We want a Torn TEXAS flag in the background. We want it to be elite with a lighting green and gray font. Font across between New York systyle graffiti and modern. Has to be readable but bold. Torn Texas Flag surrounded our name in a graffiti format, but readable.","texas elite septic services, torn texas flag, logo design, new york systyle graffiti, gray font, graffiti format, background, lighting, name"
Wordpress scrapper,Hello I need to get the data of a website in wordpress with any plugin.,"wordpress scrapper, data, website, plugin"
PDF AND IMAGE EDITING,I want a good and experienced freelancer that can help me handle this job perfectly thank you,"image editing, experienced freelancer, pdf, job"
Design a small website in angular JS for a small scale production house,A small website in Angular using SQL server as database for simple push and pop operations.,"small scale production house, small website, sql server, simple push, angular, database, operations"
ANSYS MECHANICAL,See the attached pdf for more details about the model construction and description.,"ansys mechanical, model construction, pdf, description, more details"
Event report,"-researched investigation and deatiled report needed, not some paraphrased content - will not release payment until the work is satisfactory or up to the mark - 30 references from google scholar is mandatory -citations to be added in each and every paragraphs -multiple revisions or corrections might be done -plagarism not more than 10% - Event report on Oktoberfest -will be sending a outline on personal chat on how it exactly needs to be on that format","event report, paragraphs -multiple revisions, google scholar, mandatory -citations, oktoberfest -will, personal chat, -researched investigation, content, payment, work"
Logo design,Hello there. I need someone who can help me design,logo design
Bank nifty strangle,"I want code for Bank nifty strangle with below inputs My broker: Zerodha time: 9:20am premium: 50 rupees on both sides SL: 30%, after one leg SL is hit then another leg SL should trail to cost I want the SL to be placed as SL-Limit with 20 paise difference, and if SL is not filled in 15 seconds then SL need to execute on Market price.","nifty strangle, zerodha time, market price, paise difference, bank, code, broker, premium, rupees, seconds"
Add a small feature to a PHP website -- 2,Looking for PHP experts to add a small feature to a PHP website,"php website, small feature, php experts"
Website developer and api developer needed,We want to create and design wallet and connect it to the various gaming websites though api. Api creating will be main task in this project is the competitor,"website developer, api developer, main task, wallet, project, competitor, various gaming websites"
Audio Mixing for a Instagram reel,"Audio mixing required, we already have two songs decided, we need a good remix with a proper transition.","instagram reel, audio mixing, proper transition, good remix, songs"
NEW English Speaking Wordpress & Woo Commerce Experts  - Project Managers NO CODING,"We are looking for English speaking Wordpress Experts to work on our various Wordpress & Woocommerce projects. There is no coding , we use base wordpress plus Themes plus plugins. **** This work will be done live with our Team , you will be working live with our Team making small ongoing must speak good english to apply for this role. The work largely involves configuring various demos of themeforest wordpress themes via the Admin, NO must have very good experience with wordpress themes on themeforest. We need to make various changes in the Admin , there is NO CODING , we dont do hard coding. You must be highly experienced with either of the following Wordpress themes 1)Woodmart, 2)Ohio 3)Zox and other themes provide links to websites you have worked on, You must have good ex...","new english speaking wordpress, woo commerce experts, project managers, themeforest wordpress themes, wordpress experts, base wordpress, woocommerce projects, good english, coding, team"
Assistance required with Qlik Sense,"I have created a Qlik Sense project that is sales analysis with profit margin. It works well but I have one problem. As per image attached profit can only be calculated per product if there is cost price associated. Some products do not have cost price associated (pink highlight), as a result I cannot get my sheet to show Total correctly (yellow highlight)","qlik sense project, cost price, sales analysis, profit margin, assistance, pink highlight, yellow highlight, problem, total, image"
Convert epub or pdf to sqlite3 database,So I need epub or pdf or sql file converted into sqlite3 files. We need the same structure as the files attached.,"sqlite3 database, sqlite3 files, sql file, epub, same structure"
SEO specialist,We want to ranking our site named we need a SEO specialist for our site to top ranking globally.,"seo specialist, site, top"
"Write a Macro, Code or an Application to replace placeholders with client logo and business details","I am a consultant and I sell MS Word templates to clients. As part of my services, I input the clients' logo and business details into the templates where I have put different placeholders such as , , , etc. I have a working Macro code. However, there are a few problems at the moment: - it takes too long to process the docs. - it stopped inputing the logo on the header. - it only works with Mac. We want it to work with Windows as well. - it has some bugs. Desired outcome: A system in Google Docs, MS Word & Excel, or a web app or desktop app which when I open the app: - Ask me about ""new client"" details such as logo, company name etc etc, T - Ask me the theme colour for the documents to match their logo. - Then, it changes the variables in the files all...","business details, macro code, application, logo, different placeholders, google docs, clients, web app, desktop app, new client"
Need a flutter developer who can do some changes on my application,Need a flutter developer who can do some changes on my application with the Laravel backend.,"flutter developer, laravel backend, changes, application"
Recherche de prospects,"J'ai besoin d une liste d entreprises francaises exportatrices des secteurs suivants - produits de construction - infrastructure - Manufacture - Industries Il me faut les contacts des dirigeants et responsables export, y compris le numero direct La liste doit obligatoirement comporter les colones suivantes (nom de l entreprise, secteur, descriptif, site web, addresse, nombre d employees/ou CA, dirigeant et contacts directs, responsable export (si applicable) et contact direct) L'entreprise doit etre deja exportatrice, idealement doit exporter en Australie. Il me faut une liste test avant.","ou ca, doit obligatoirement comporter les colones suivantes, l'entreprise doit etre deja exportatrice, exportatrices des secteurs suivants, une liste test avant, j'ai besoin d une liste d, contacts des dirigeants et, doit exporter, dirigeant et contacts directs, site web"
Editor voice for news YouTube channel,Mera YouTube channel hai jo bhi isme kam karne ke liye mere se contact kare aapko bas video editing karni hai,"mera youtube channel hai jo bhi isme kam karne ke liye mere se contact kare aapko bas video editing karni hai, news youtube channel, editor voice"
Need explainer video for my product.,I need a video explainer of my product …. Just like this one here on Gofundme. I can do the voiceover.,"explainer video, product, gofundme, voiceover, one"
Wedding photo,One of my wedding photos contains an ex partner of a family member and we want to have it without him in it is there someone that can help (man on end on the right),"wedding photo, family member, man, end, right, ex partner"
need 3d animation for a 2 small projects,"project one design a 3d gift card in a football ground project2 design a airplane seat with a small display screen, with animation it it","football ground project2 design, small display screen, small projects, gift card, airplane seat, animation, design"
Translation check from English  into Italian and German.,"Hi I am launching in a few days, a e-commerce website in English, French, German and Italian. I need help with German and Italian only. I have about 8 pages of text around 3500 words to be translated from English to Italian and German. The projet is to be divided in two parts: First you will translate the text and then I will implement it on the website. Improvements to the English text are welcome. Second: you will access the website and check it, including menus, links, and simulating creating an account, payment and checking emails you get from the website, looking for erros for the German and Italian languages. The site is very simple: homepage, product catalogue, 5 products in total, one small blog post , FAQ and Contact Us page. All you need is to take screenshots and annotate e...","e-commerce website, translation check, english text, italian languages, website, german, small blog post, product catalogue, help, faq"
Build me simple Website.,The website i am looking for is similar to https://gumroad.com. Its not very complex website. more details will be given later.,"simple website, complex website, more details"
Banners design,Seeking for a banner designer for website of paper writing service [login to view URL],"paper writing service, banner designer, banners, url, website, login"
Handle my ig account,"Guys i need a person to continue with my Instagram account, i used to upload anime content suddenly my views started going down i need some one to edit and upload anime videos","instagram account, anime content, anime videos, guys, person, views, ig account, one"
